director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,pandaemoniu
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,groundhog da
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,magic mike xx
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,romeo + julie
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,sarah's ke
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,freedo
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,unforgive
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,manderla
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,slumdog millionair
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,fatal attractio
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,pretty woma
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,towering inferno           
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,crocodile dundee i
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horse
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,born on the fourth of jul
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,cool running
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,my bloody valentin
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,the possessio
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,first bloo
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,stomp the yar
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,the spy who loved m
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters           
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,urban legen
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaison
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,good deed
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,white fan
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,supersta
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,the iron lad
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,jonah: a veggietales movi
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,poetic justic
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,all about the benjamin
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,vampire in brookly
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,exorcist ii: the hereti
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,an american hauntin
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,my boss's daughte
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,a perfect getawa
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,our family weddin
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,dead man on campu
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,tea with mussolin
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,thinne
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,"new york, new yor"
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,crookly
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,i think i love my wif
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,jason 
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat lia
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,bobb
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,head over heel
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,fun siz
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,the diving bell and the butterfl
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,little childre
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,gossi
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,a walk on the moo
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,catch a fir
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,soul survivor
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,jefferson in pari
Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall,Comedy Romance,easy virtu
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravan
Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,mr. turne
Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer,Drama Romance,wild gras
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Biography Crime Drama War,amen
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassin
Neil Burger,John Heard,Katherine LaNasa,Mark L. Young,Comedy Drama War,the lucky one
Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,margare
Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird,Comedy Horror,stan helsin
Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Comedy Drama Romance,flippe
Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Drama Romance,brokeback mountai
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtle
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,clueles
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,Drama Romance,far from heave
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,Comedy Sci-Fi,hot tub time machine 
unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Drama,dekalog           
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,Biography Drama,quill
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Comedy Crime,seven psychopath
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,the caveman's valentin
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,the border           
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,downfal
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,the sea insid
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,under the ski
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,"good morning, vietna"
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfathe
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say neve
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,black swa
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,roboco
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,the godfather: part i
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,save the last danc
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,a nightmare on elm street 4: the dream maste
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heave
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car"
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young gun
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,st. vincen
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,about last nigh
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,10 things i hate about yo
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new gu
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 
Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,Drama Horror Thriller,the shallow
Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-Fi Thriller,the butterfly effec
Chris Koch,Chris Elliott,Mark Webber,Jean Smart,Adventure Comedy Family,snow da
Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,Comedy Drama Romance,this christma
Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy Crime Family Sci-Fi,baby geniuse
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,the big hi
Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Comedy Drama Family,harriet the sp
John Lafia,Jenny Agutter,Beth Grant,Greg Germann,Fantasy Horror,child's play 
Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,Crime Thriller,no good dee
Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,the mis
Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,ex machin
Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,Comedy Drama Fantasy,being john malkovic
Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,Comedy Romance,two can play that gam
Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Adventure Family Sci-Fi,earth to ech
John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama Romance,crazy/beautifu
Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Drama History War,letters from iwo jim
Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,Adventure Drama Sci-Fi,the astronaut farme
Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Comedy Romance,wo
Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,roo
Bob Saget,Don Rickles,Jack Warden,Traylor Howard,Comedy,dirty wor
John Waters,Kathleen Turner,Sam Waterston,Traci Lords,Comedy Crime Thriller,serial mo
Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,dic
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - män som hatar kvinnor           
Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Drama Thriller,light it u
Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,Drama Music,5
Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Adventure Comedy Romance Sci-Fi,bubble bo
Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Comedy Crime Thriller,birthday gir
Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,Comedy,21 & ove
Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Comedy Drama Romance,"paris, je t'aim"
Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote,Drama Sport,resurrecting the cham
Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Comedy Drama Romance,admissio
Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,Drama Romance,the widow of saint-pierr
Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,Drama Mystery Romance Thriller,chlo
Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Comedy Crime Drama,faithfu
Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Drama Thriller,brother
Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco,Biography Comedy Crime Drama,find me guilt
Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh,Drama Romance,the perks of being a wallflowe
Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,excessive forc
Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis,Biography Crime Drama,infamou
Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,Drama Romance Western,the clai
Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,Horror Thriller,the vatican tape
Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,Action Comedy Sci-Fi Thriller,attack the bloc
Angelina Jolie Pitt,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Drama Romance War,in the land of blood and hone
Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia,Crime Thriller,the cal
John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,Action Drama History War,operation chromit
John Stainton,Steve Irwin,Aden Young,Steve Bastoni,Action Adventure Comedy Family,the crocodile hunter: collision cours
Glenn Ficarra,Dameon Clarke,Louis Herthum,Annie Golden,Biography Comedy Crime Drama Romance,i love you phillip morri
Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz,Adventure Drama History,quest for fir
Denzel Washington,Denzel Washington,Kevin Connolly,Derek Luke,Biography Drama,antwone fishe
Michael Hoffman,Gabriel Millman,Embeth Davidtz,Rob Morrow,Drama,the emperor's clu
Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,Action Crime Drama Romance Thriller,true romanc
Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray,Drama Romance Sci-Fi,wom
James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,Crime Drama Mystery,glengarry glen ros
Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson,Crime Drama Thriller,the killer inside m
Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,Fantasy Horror Thriller,cat peopl
Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis,Horror Mystery,sorority ro
John Cromwell,David Niven,Mary Astor,Ronald Colman,Adventure Drama Romance,the prisoner of zend
Craig Gillespie,Ryan Gosling,Kelli Garner,Paul Schneider,Comedy Drama Romance,lars and the real gir
Mark Herman,Richard Johnson,Sheila Hancock,Cara Horgan,Drama War,the boy in the striped pajama
Lars von Trier,Catherine Deneuve,Udo Kier,Björk,Crime Drama Musical,dancer in the dar
Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell,Drama Romance,oscar and lucind
Abel Ferrara,Isabella Rossellini,Vincent Gallo,Gretchen Mol,Crime Drama,the funera
Brian Koppelman,Jenna Fischer,David Costabile,Richard Schiff,Comedy Drama Romance,solitary ma
Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,Action Crime Thriller,machet
George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell,Biography Comedy Crime Drama,casino jac
Don Bluth,Judith Barsi,Gabriel Damon,Bill Erwin,Adventure Animation Family,the land before tim
Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang,Action Drama War,tae guk gi: the brotherhood of wa
William Dear,Clifton Collins Jr.,Cheech Marin,Bruce McGill,Comedy Drama Family Sport,the perfect gam
William Friedkin,Ellen Burstyn,Linda Blair,Lee J. Cobb,Horror,the exorcis
Steven Spielberg,Roy Scheider,Robert Shaw,Murray Hamilton,Adventure Drama Thriller,jaw
Paul Weitz,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,american pi
Stéphane Aubier,Mackenzie Foy,Megan Mullally,Lambert Wilson,Animation Comedy Crime Drama Family,ernest & celestin
Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Action Adventure Comedy Fantasy Mystery,the golden chil
Tim Story,Chris Brown,Romany Malco,Regina Hall,Comedy Romance,think like a ma
Tim Story,Sean Patrick Thomas,Jason George,Cedric the Entertainer,Comedy Drama,barbersho
Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Action Adventure Sci-Fi,star trek ii: the wrath of kha
Tom Shadyac,Sean Young,Udo Kier,David Margulies,Comedy,ace ventura: pet detectiv
John Badham,Matthew Broderick,Barry Corbin,Ally Sheedy,Sci-Fi Thriller,wargame
Peter Weir,Harrison Ford,Viggo Mortensen,Lukas Haas,Crime Drama Romance Thriller,witnes
Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,Action Adventure Drama Thriller War,act of valo
Anne Fletcher,Channing Tatum,Alyson Stoner,Josh Henderson,Crime Drama Music Romance,step u
Mike Judge,Bruce Willis,Demi Moore,John Doman,Adventure Animation Comedy Crime,beavis and butt-head do americ
Quentin Tarantino,Robert De Niro,Sid Haig,Robert Forster,Crime Thriller,jackie brow
Jon Hurwitz,Danneel Ackles,Eric Winter,Beverly D'Angelo,Adventure Comedy,harold & kumar escape from guantanamo ba
Josh Trank,Michael Kelly,Alex Russell,Ashley Hinshaw,Drama Sci-Fi Thriller,chronicl
Barbra Streisand,Miriam Margolyes,Amy Irving,Steven Hill,Drama Musical Romance,yent
Terry Gilliam,Shelley Duvall,Michael Palin,Kenny Baker,Adventure Comedy Fantasy Sci-Fi,time bandit
Tamra Davis,Britney Spears,Katherine Boecher,Dave Allen,Comedy Drama,crossroad
Nima Nourizadeh,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Comedy Crime,project 
Franklin J. Schaffner,George C. Scott,Karl Malden,Bill Hickman,Biography Drama War,patto
Mark Romanek,Robin Williams,Gary Cole,Connie Nielsen,Drama Thriller,one hour phot
John Erick Dowdle,Andrew Fiscella,Jay Hernandez,Dania Ramirez,Horror Sci-Fi Thriller,quarantin
David Moreau,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,Horror Mystery,the ey
Christopher Erskin,Vanessa Williams,Shannon Elizabeth,Shad Moss,Comedy,johnson family vacatio
Jesse Dylan,Hector Elizondo,Fred Willard,T.J. Thyne,Comedy Fantasy,how hig
Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Comedy Drama Family Fantasy Musical,the muppet christmas caro
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller,casino royal
Julie Taymor,Salma Hayek,Roger Rees,Valeria Golino,Biography Drama Romance,frid
Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Documentary Music,katy perry: part of m
Josh Boone,Shailene Woodley,Sam Trammell,Nat Wolff,Drama Romance,the fault in our star
John Dahl,Matt Damon,Martin Landau,Gretchen Mol,Crime Drama,rounder
Chris Rock,Rosario Dawson,Romany Malco,J.B. Smoove,Comedy Romance,top fiv
John Frankenheimer,Talia Shire,Richard Dysart,Robert Foxworth,Horror Sci-Fi,prophec
David Koepp,Illeana Douglas,Kathryn Erbe,Lusia Strus,Horror Mystery Thriller,stir of echoe
unknown,Peter Mensah,Kelvin Taylor,Viva Bianca,Action Adventure Biography Drama History,spartacus: war of the damned           
Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,Biography Drama,philomen
Mike Binder,Alicia Witt,Erika Christensen,Joan Allen,Comedy Drama,the upside of ange
Franklin J. Schaffner,Laurence Olivier,Anne Meara,Steve Guttenberg,Drama Thriller,the boys from brazi
Elizabeth Allen Rosenbaum,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Comedy Family Fantasy Romance,aquamarin
Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,Drama Mystery Romance,paper town
Cheryl Dunye,Michael Imperioli,Marsha Thomason,Bai Ling,Comedy,my baby's dadd
Alexander Payne,Devin Ratray,Bruce Dern,Will Forte,Adventure Comedy Drama,nebrask
Ernest R. Dickerson,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Action Fantasy Horror Thriller,tales from the crypt: demon knigh
Tim Hill,Noel Fisher,Amber Valletta,Larry Miller,Comedy Crime Family,max keeble's big mov
Jason Reitman,Charlize Theron,Patton Oswalt,Collette Wolfe,Comedy Drama,young adul
Mark Neveldine,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Action Crime Thriller,cran
Lionel C. Martin,Bernie Mac,Gilbert Gottfried,Lark Voorhies,Comedy,how to be a playe
Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein,Comedy Drama Romance,living out lou
Sanaa Hamri,Common,Laz Alonso,Mehcad Brooks,Comedy Romance Sport,just wrigh
Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Drama Romance,rachel getting marrie
Bob Rafelson,Anjelica Huston,Michael Lerner,John Colicos,Crime Drama Romance Thriller,the postman always rings twic
Peter Webber,Scarlett Johansson,Colin Firth,Tom Wilkinson,Biography Drama Romance,girl with a pearl earrin
Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Adventure Drama Thriller War,das boo
John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,Drama History War Western,the alam
Wallace Wolodarsky,Heather Matarazzo,Barry Watson,Harland Williams,Comedy,sorority boy
Richard Curtis,Tom Hughes,Tom Hollander,Lindsay Duncan,Drama Fantasy Romance,about tim
Yimou Zhang,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Action Adventure Drama Romance,house of flying dagger
Nicholas Jarecki,Nate Parker,Curtiss Cook,Reg E. Cathey,Drama Thriller,arbitrag
Dean Israelite,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Sci-Fi Thriller,project almana
Darnell Martin,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Biography Drama Music,cadillac record
Scott Alexander,Sarah Silverman,Dave Chappelle,Sherman Hemsley,Comedy Crime,screwe
Stuart Gordon,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Action Crime Sci-Fi Thriller,fortres
Christopher Guest,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,Comedy,for your consideratio
Woody Allen,Melanie Griffith,Aleksa Palladino,Greg Mottola,Comedy Drama,celebrit
Ryan Murphy,Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,Comedy Drama,running with scissor
Robert Iscove,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,Comedy Musical Romance,from justin to kell
Spike Lee,Michael Imperioli,Debi Mazar,Gretchen Mol,Comedy Drama,girl 
Jane Campion,Jennifer Jason Leigh,Nick Damici,Susan Gardner,Mystery Thriller,in the cu
James Gray,Isabella Rossellini,Vinessa Shaw,Samantha Ivers,Drama Romance,two lover
Fred Schepisi,Bob Hoskins,Ray Winstone,JJ Feild,Drama,last order
Joon-ho Bong,Doona Bae,Kang-ho Song,Ah-sung Ko,Comedy Drama Horror Sci-Fi,the hos
Roger Spottiswoode,Robert Duvall,Treat Williams,Paul Gleason,Adventure Crime Thriller,the pursuit of d.b. coope
Antonia Bird,Jeremy Davies,Jeffrey Jones,David Arquette,Fantasy Horror Thriller,ravenou
Jon Poll,Robert Downey Jr.,Megan Park,Hope Davis,Comedy Drama Romance,charlie bartlet
Paolo Sorrentino,Toni Servillo,Sabrina Ferilli,Serena Grandi,Drama,the great beaut
Peter Care,Kieran Culkin,Michael Harding,Jake Richardson,Comedy Drama,the dangerous lives of altar boy
Chan-wook Park,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,Drama Thriller,stoke
Kar-Wai Wong,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,Drama Romance Sci-Fi,204
Ira Sachs,David Richmond-Peck,Erin Boyes,Timothy Webber,Crime Drama Romance,married lif
Carroll Ballard,Eamonn Walker,Hope Davis,Campbell Scott,Adventure Drama Family,dum
Neil Jordan,Tony Curran,Stephen Rea,Alicja Bachleda,Drama Mystery Romance,ondin
Takeshi Kitano,Omar Epps,Tatyana Ali,James Shigeta,Crime Drama Thriller,brothe
Anthony Russo,Michael Jeter,Isaiah Washington,Andy Davoli,Comedy Crime,welcome to collinwoo
Sidney Lumet,Kyra Sedgwick,Anne Bancroft,Albert Brooks,Comedy Drama,critical car
Vadim Perelman,Eva Amurri Martino,Lynn Cohen,Brett Cullen,Drama Mystery Thriller,the life before her eye
Lawrence Kasdan,Dianne Wiest,Mark Duplass,Sam Shepard,Comedy Drama Romance,darling companio
Marco Kreuzpaintner,Zack Ward,Kate del Castillo,Alicja Bachleda,Crime Drama Thriller,trad
Lajos Koltai,Marcell Nagy,Péter Fancsikai,Bálint Péntek,Drama Romance War,fateles
Alan Rudolph,Bruce Willis,Albert Finney,Omar Epps,Comedy,breakfast of champion
Yimou Zhang,Honglei Sun,Ni Yan,Dahong Ni,Comedy Drama,"a woman, a gun and a noodle sho"
Vincenzo Natali,David Hewlett,Jeremy Northam,Kari Matchett,Mystery Romance Sci-Fi Thriller,cyphe
Chuan Lu,Ye Liu,Yuanyuan Gao,Ryu Kohata,Drama History War,city of life and deat
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi,hom
Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,Action Adventure Animation Comedy Family,legend of kung fu rabbi
Takashi Yamazaki,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Action Adventure Drama Sci-Fi,space battleship yamat
Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,Action Drama War,5 days of wa
Christopher Smith,Rachael Carpani,Michael Dorman,Emma Lung,Fantasy Mystery Thriller,triangl
Timothy Hines,Christopher Lambert,Kelly LeBrock,Alexandra Callas,Drama,10 days in a madhous
Randall Wallace,Jacob Vargas,Connor Corum,Rob Moran,Biography Drama,heaven is for rea
Guy Ritchie,Jason Statham,Brad Pitt,Jason Flemyng,Comedy Crime,snatc
David Winters,Gary Daniels,Matt Marr,Ginger Jensen,Family Musical,dancin' it's o
Mary Lambert,Miko Hughes,Fred Gwynne,Denise Crosby,Fantasy Horror,pet sematar
Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,Drama,madaday
Jamie Thraves,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan,Drama Thriller,the cry of the ow
Mabel Cheung,Wei Tang,Ching Wan Lau,Hailu Qin,Drama,a tale of three citie
Joe Dante,Phoebe Cates,Harry Carey Jr.,Zach Galligan,Comedy Fantasy Horror,gremlin
George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,Action Adventure Fantasy Sci-Fi,star wars: episode iv - a new hop
Dan Mazer,Robert De Niro,Zoey Deutch,Jason Mantzoukas,Comedy,dirty grandp
David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,Drama Romance War,doctor zhivag
